100075 dugong 0.14363,stingray 0.13328,sea lion 0.08063,electric ray 0.06614,otter 0.04386,
23080 window shade 0.25128,bookcase 0.09213,shoji 0.07021,lab coat 0.05460,neck brace 0.04096,
23084 cocktail shaker 0.05209,toilet seat 0.04506,beer glass 0.03632,beaker 0.03578,measuring cup 0.03397,
231015 electric ray 0.12972,seashore 0.05103,maze 0.03912,lakeside 0.02591,gar 0.02552,
232038 lakeside 0.13778,envelope 0.09763,bath towel 0.06614,dam 0.06061,boathouse 0.05003,
236017 bustard 0.03469,sidewinder 0.03343,velvet 0.03221,meerkat 0.03103,hammerhead 0.02859,
238011 screw 0.08418,chain 0.06471,water snake 0.06073,bubble 0.05735,kite 0.05198,
239007 slide rule 0.46481,holster 0.02763,rule 0.02408,muzzle 0.02153,sarong 0.01957,
239096 cardoon 0.18141,hummingbird 0.09883,cabbage butterfly 0.08897,pinwheel 0.07173,feather boa 0.06704,
24004 slide rule 0.12358,bolo tie 0.09991,rule 0.06560,crutch 0.02617,broom 0.02288,
24063 cleaver 0.28150,switch 0.11884,candle 0.04618,spatula 0.02507,hook 0.02012,
242078 spaghetti squash 0.09049,plastic bag 0.06262,potter's wheel 0.03814,toilet seat 0.03283,goblet 0.03214,
245051 assault rifle 0.08994,stretcher 0.06548,tricycle 0.06290,jinrikisha 0.04881,rifle 0.04393,
246016 hourglass 0.05644,swing 0.05121,tub 0.04814,window shade 0.02335,caldron 0.02007,
246053 mosquito net 0.15550,shower cap 0.14951,bubble 0.11007,hoopskirt 0.06563,velvet 0.06545,
247085 wool 0.16723,nematode 0.12549,porcupine 0.10775,platypus 0.04594,paper towel 0.04228,
249061 seashore 0.08992,promontory 0.06585,lakeside 0.06051,loggerhead 0.05975,sandbar 0.04238,
249087 beaker 0.12422,maze 0.05888,valley 0.03071,Petri dish 0.02959,measuring cup 0.02595,
25098 slide rule 0.33696,plastic bag 0.06178,window shade 0.03162,window screen 0.03052,honeycomb 0.02800,
253036 screw 0.26973,hook 0.03495,airship 0.03301,chain 0.02714,corkscrew 0.02334,
254033 seashore 0.17625,sandbar 0.10518,dishrag 0.09557,stole 0.04660,cliff dwelling 0.04650,
254054 handkerchief 0.11665,window shade 0.10341,cliff 0.05905,seashore 0.05579,porcupine 0.03858,
260081 starfish 0.12732,chambered nautilus 0.05693,brain coral 0.05139,cradle 0.04616,sock 0.03656,
26031 window screen 0.06145,lakeside 0.05887,jigsaw puzzle 0.02519,honeycomb 0.02435,chain mail 0.02219,
268002 bubble 0.17215,platypus 0.03541,hook 0.03134,seashore 0.02934,chain 0.02742,
27059 lakeside 0.08962,nematode 0.07845,picket fence 0.06785,hammerhead 0.01886,plastic bag 0.01875,
271008 swimming trunks 0.11910,maillot 0.05440,sarong 0.04531,pickelhaube 0.04059,quill 0.03892,
271031 paper towel 0.17433,sandbar 0.06462,envelope 0.06388,seashore 0.05719,puck 0.03511,
274007 window screen 0.19653,handkerchief 0.05783,window shade 0.03021,mobile home 0.01936,plate rack 0.01911,
277095 pick 0.18409,handkerchief 0.11699,window shade 0.10082,window screen 0.09816,slide rule 0.04976,
28075 velvet 0.05609,sandbar 0.04969,gazelle 0.04491,half track 0.03503,lakeside 0.03329,
28096 envelope 0.06812,velvet 0.05875,dishrag 0.05279,nematode 0.04362,rapeseed 0.03708,
285036 mosquito net 0.12804,bonnet 0.10924,head cabbage 0.09143,shower cap 0.04930,Petri dish 0.04334,
286092 scabbard 0.05561,plunger 0.03034,snorkel 0.02830,projectile 0.02766,Rottweiler 0.01827,
292066 slide rule 0.19814,cliff dwelling 0.07379,nail 0.03817,shower curtain 0.03338,mosquito net 0.03335,
293029 mosquito net 0.11637,electric ray 0.10654,stingray 0.04204,mousetrap 0.03644,sidewinder 0.03477,
299091 sandbar 0.19108,wing 0.16398,volcano 0.09841,stingray 0.07047,seashore 0.02304,
301007 nematode 0.07598,ear 0.06515,pedestal 0.05263,rocking chair 0.04548,panpipe 0.03415,
302003 diaper 0.11306,bath towel 0.10302,sunscreen 0.09175,Band Aid 0.07614,ski mask 0.05865,
309004 electric ray 0.10510,marmot 0.10479,wood rabbit 0.07127,hare 0.03352,fox squirrel 0.03297,
310007 ice bear 0.17194,conch 0.14963,paper towel 0.05358,swimming trunks 0.04099,envelope 0.03790,
311068 quill 0.09455,broccoli 0.06772,American egret 0.04353,head cabbage 0.03118,hourglass 0.02524,
311081 nematode 0.49676,velvet 0.07767,ear 0.05333,lacewing 0.03781,wool 0.02081,
314016 grey whale 0.11954,hammerhead 0.10589,water snake 0.09709,platypus 0.09323,sea lion 0.05826,
317080 gazelle 0.13100,honeycomb 0.04222,nematode 0.03096,impala 0.03080,green mamba 0.02478,
323016 washer 0.10950,toilet seat 0.07846,washbasin 0.03964,pajama 0.02747,lab coat 0.02617,
326038 whiptail 0.27598,walking stick 0.05506,sidewinder 0.02748,hognose snake 0.02470,stole 0.02347,
33066 seashore 0.21952,maze 0.17942,sandbar 0.12719,slide rule 0.08092,worm fence 0.02582,
35008 lacewing 0.09984,cabbage butterfly 0.05390,acorn 0.04759,spotlight 0.03927,fig 0.03883,
35010 cabbage butterfly 0.17170,daisy 0.12300,ear 0.09958,green mamba 0.03105,corn 0.03057,
35058 ladybug 0.31058,nematode 0.17340,lacewing 0.13694,velvet 0.11698,leaf beetle 0.10803,
35070 vine snake 0.14030,cabbage butterfly 0.09285,leaf beetle 0.08146,grasshopper 0.05230,damselfly 0.04996,
35091 sidewinder 0.13580,honeycomb 0.13309,horned viper 0.12526,whiptail 0.10846,diamondback 0.02579,
353013 coral fungus 0.16437,sea cucumber 0.12497,jellyfish 0.06129,coral reef 0.04845,axolotl 0.04424,
361084 swing 0.11705,goblet 0.06797,shoe shop 0.02162,snorkel 0.01808,vase 0.01431,
365025 plastic bag 0.13883,lionfish 0.09764,feather boa 0.04539,wool 0.03999,sea anemone 0.03314,
365073 honeycomb 0.08831,indri 0.07476,snorkel 0.02439,rapeseed 0.02364,Cardigan 0.01869,
368016 stretcher 0.10872,park bench 0.04327,missile 0.03718,rocking chair 0.03457,scabbard 0.02654,
368078 turnstile 0.07902,rule 0.05962,broom 0.05908,patio 0.04621,envelope 0.03574,
370036 swimming trunks 0.25881,bikini 0.17641,maillot 0.11284,snorkel 0.07449,bathing cap 0.06230,
372047 wardrobe 0.11247,projectile 0.08812,shoji 0.07613,turnstile 0.07397,rain barrel 0.07117,
374020 beaker 0.13671,rule 0.10840,radiator 0.05983,book jacket 0.02859,picket fence 0.02656,
374067 bath towel 0.06859,slide rule 0.05758,sandbar 0.03595,nematode 0.03227,stole 0.02823,
376001 ski mask 0.06733,Gila monster 0.03545,military uniform 0.02275,hog 0.02074,chimpanzee 0.01931,
376020 ear 0.05189,sarong 0.04281,corn 0.03426,stole 0.03281,pineapple 0.03091,
385028 window shade 0.27207,studio couch 0.06748,doormat 0.06181,window screen 0.05109,thimble 0.02757,
388016 slide rule 0.12750,plane 0.09750,maillot 0.06125,bikini 0.04275,miniskirt 0.04138,
41004 quill 0.03877,paper towel 0.03148,shower curtain 0.03072,hook 0.02962,bath towel 0.02949,
41025 cliff dwelling 0.18616,cliff 0.09007,sea lion 0.04038,stingray 0.03917,sidewinder 0.02557,
42044 frilled lizard 0.06715,puffer 0.04961,terrapin 0.04313,leatherback turtle 0.03310,platypus 0.03189,
42078 pitcher 0.09369,white wolf 0.06542,Arctic fox 0.05113,bubble 0.04377,hammerhead 0.04176,
43070 platypus 0.17187,water snake 0.16573,dowitcher 0.12105,beaver 0.05655,red-backed sandpiper 0.04169,
43083 spider web 0.10051,window screen 0.05831,redshank 0.04639,dowitcher 0.03123,bittern 0.02325,
45077 brain coral 0.42701,coral reef 0.16065,electric ray 0.13771,stingray 0.08757,hammerhead 0.03772,
46076 pole 0.09466,sandbar 0.09345,seashore 0.06558,lakeside 0.06315,window shade 0.06223,
48055 rule 0.18904,nematode 0.17718,slide rule 0.07937,sea snake 0.05797,envelope 0.05690,
54005 cliff dwelling 0.33455,cliff 0.15617,pickelhaube 0.07130,stone wall 0.02300,ibex 0.02295,
55067 stingray 0.20879,tub 0.09423,bathtub 0.05997,envelope 0.05231,toilet tissue 0.04674,
55075 abaya 0.10173,cowboy boot 0.03481,megalith 0.03337,unicycle 0.03112,reel 0.02380,
56028 sundial 0.06916,maze 0.04140,iron 0.03772,airliner 0.03748,nematode 0.03526,
59078 window shade 0.21210,pedestal 0.06995,modem 0.05860,hard disc 0.03829,beaker 0.03825,
60079 alp 0.17148,parachute 0.09580,nematode 0.07348,airship 0.06889,ptarmigan 0.06162,
61060 alp 0.09863,nematode 0.09821,ski 0.03405,wing 0.03373,envelope 0.02324,
61086 liner 0.07346,pier 0.04563,bannister 0.03933,prison 0.03678,library 0.03583,
65010 lakeside 0.23609,alp 0.17167,valley 0.10555,boathouse 0.04469,dam 0.03477,
65019 pick 0.21381,dial telephone 0.07175,bottlecap 0.05747,golf ball 0.03810,wine bottle 0.03454,
65074 hand blower 0.05625,oboe 0.05448,hamper 0.03968,brassiere 0.02763,electric fan 0.02459,
65132 terrapin 0.12358,jellyfish 0.10968,platypus 0.07478,loggerhead 0.05714,electric ray 0.05509,
66039 volcano 0.13174,broom 0.04668,mushroom 0.03474,hyena 0.02969,quill 0.02864,
66075 velvet 0.30515,guenon 0.08188,paper towel 0.04648,langur 0.04320,colobus 0.04190,
67079 slide rule 0.26040,rule 0.09214,panpipe 0.08025,radiator 0.07059,window shade 0.04033,
68077 dishrag 0.16385,speedboat 0.09688,sandbar 0.08638,lakeside 0.07227,seashore 0.05512,
71046 envelope 0.18427,seashore 0.08679,dam 0.03732,panpipe 0.03556,wing 0.03119,
76002 dam 0.39888,hatchet 0.05934,cleaver 0.05609,rule 0.04958,submarine 0.03994,
78019 slide rule 0.18621,web site 0.14337,rule 0.11095,crossword puzzle 0.10772,palace 0.10690,
80099 electric ray 0.20083,stingray 0.18004,water snake 0.10644,sea snake 0.06993,sandbar 0.06924,
8049 harvestman 0.10888,walking stick 0.09003,frilled lizard 0.05843,whiptail 0.05561,cradle 0.03130,
8143 bittern 0.08683,spider web 0.05264,chainlink fence 0.04262,porcupine 0.04028,diamondback 0.03419,
87065 whiptail 0.21775,sidewinder 0.07154,dung beetle 0.05102,horned viper 0.04754,mongoose 0.02151,
90076 car mirror 0.09074,envelope 0.08187,tub 0.07592,paper towel 0.05630,toilet tissue 0.02545,
92059 sandbar 0.19818,seashore 0.08128,mountain tent 0.06086,stingray 0.04244,lakeside 0.02583,
94079 Norfolk terrier 0.07143,wood rabbit 0.04498,ice bear 0.04391,sea lion 0.04210,briard 0.03252,
95006 scoreboard 0.10179,jigsaw puzzle 0.08960,book jacket 0.07333,park bench 0.03583,digital clock 0.03366,
97017 dam 0.22011,bib 0.04791,boathouse 0.02249,envelope 0.02100,paper towel 0.01733,
